mlb_ID,seasons_bat,career_PA,avg_offense,total_bat_war,peak_bat_war,seasons_pitch,career_GS,avg_era_plus,total_pitch_war,peak_pitch_war,hof_indicator
118757,1,14,-0.4,-0.07,-0.03,1,3,228.35,-0.51,-0.11,0
118758,10,4550,-0.6299999999999999,20.669999999999998,6,0,0,0,0,0,0
118759,1,71,-1.3,0.07,0.07,0,0,0,0,0,0
118760,6,558,-6.333333333333333,-3.4699999999999998,-0.07,6,162,144.45742233437826,14.95,8.11,0
118761,6,164,0.3999999999999999,0.23,0.46,6,34,106.78124113021947,7.35,2.48,0
118762,5,146,2.3600000000000003,1.06,0.79,5,24,83.93813897018474,1.55,2.14,0
118763,8,2086,-9.6,-2.77,1.02,0,0,0,0,0,0
118764,1,0,0,0,0,1,0,48.6,-0.02,-0.02,0
118765,13,7626,18.27692307692308,38.73,5.27,0,0,0,0,0,0
118766,11,3179,-3.8999999999999995,3.34,2.9,0,0,0,0,0,0
118767,1,18,-1.1,-0.26,-0.26,0,0,0,0,0,0
118768,2,4,-0.3,-0.06,0,2,1,63.1764705882353,-0.32999999999999996,0.26,0
118769,4,508,1.525,1.49,1.19,0,0,0,0,0,0
118770,2,6,0.15,0.04,0.04,2,1,76.6111111111111,-0.11,0.01,0
118771,3,16,-0.4666666666666666,-0.29,0,0,0,0,0,0,0
118772,1,66,-6.9,-0.76,-0.76,0,0,0,0,0,0
118773,3,8,0.06666666666666667,0.02,0.02,3,3,68.93285714285713,-0.25,0.21,0
118774,1,193,-2.8,-0.04,-0.04,0,0,0,0,0,0
118775,2,262,-4.3,0.16999999999999998,0.25,1,1,97.7666666666667,-0.62,-0.62,0
118776,1,121,-5.7,-1.31,-1.31,0,0,0,0,0,0
118777,2,64,-0.25000000000000006,-0.03,0.06,2,13,75.56825396825396,-1.1400000000000001,-0.47,0
118778,2,43,1.05,0.22999999999999998,0.21,2,12,80.63531746031745,0.8599999999999999,1.16,0
118779,2,0,0,0,0,2,0,114.44141414141414,-0.16000000000000003,0.93,0
118780,3,456,-2.925,-1.16,0.13,3,115,77.9431601932588,4.18,4.59,0
118781,2,309,-1.3,1.04,0.92,0,0,0,0,0,0
118782,7,980,-5.1571428571428575,-2.52,0.6,0,0,0,0,0,0
118783,1,2,-0.5,-0.04,-0.04,0,0,0,0,0,0
118784,4,1617,11.625,8.89,3.42,0,0,0,0,0,0
118785,2,93,-4.1499999999999995,-0.8200000000000001,-0.03,0,0,0,0,0,0
118786,6,443,-2.9499999999999997,-1.06,0.14,0,0,0,0,0,0
118787,10,709,-0.7363636363636363,-1.21,0.21,10,264,94.71253021399326,20.51,8.08,0
118788,1,3,-0.1,-0.01,-0.01,0,0,0,0,0,0
118789,1,26,-2.9,-0.23,-0.23,0,0,0,0,0,0
118790,2,148,-3.3,-0.4,-0.4,0,0,0,0,0,0
118791,3,766,-1.6999999999999995,0.8899999999999999,1.9,1,4,53.3137931034483,-1.05,-1.05,0
118792,5,0,0,0,0,5,35,70.11299612213126,0.3499999999999998,2.15,0
118793,3,444,0.58,-0.86,0.03,2,1,40.55384615384615,-1.1199999999999999,-0.42,0
118794,1,37,-1.2,-0.51,-0.51,0,0,0,0,0,0
118795,1,2,-0.4,-0.04,-0.04,0,0,0,0,0,0
118796,1,1,-0.3,-0.03,-0.03,0,0,0,0,0,0
118797,1,22,-0.7,-0.04,-0.04,1,2,95.2444444444444,-0.51,-0.51,0
118798,7,12,-0.1375,-0.12000000000000001,0,7,12,116.3373286893705,4.6000000000000005,1.97,0
118799,3,1,-0.06666666666666667,-0.02,0,3,0,47.8026388888889,-0.54,0,0
118800,6,45,-0.5714285714285714,-0.45,-0.02,6,21,74.7711282051282,-2.62,0.81,0
118801,3,11,-0.3666666666666667,-0.1,0,3,3,54.57536231884057,-0.28,-0.01,0
118802,5,1270,-6.640000000000001,0.8699999999999999,2.38,0,0,0,0,0,0
118803,3,24,0.7666666666666667,0.23,0.14,3,5,76.69814814814814,-0.71,0.02,0
118804,1,22,-1.4,-0.11,-0.11,0,0,0,0,0,0
118805,1,2,-0.4,-0.04,-0.04,1,0,61.8714285714286,-0.28,-0.28,0
118806,13,2830,0.4714285714285715,12.83,4.09,0,0,0,0,0,0
118807,2,2,-0.15,-0.03,0,2,1,47.80166666666665,-0.52,-0.15,0
118808,19,7239,-4.765,19.59,4.28,0,0,0,0,0,0
118809,1,7,0,0.02,0.02,0,0,0,0,0,0
118810,3,289,-8.266666666666667,-2,0.06,0,0,0,0,0,0
118811,15,565,0.28,0.39,0.5,15,209,81.7978191424063,7.62,3.16,0
118812,1,5,0.24999999999999997,0.039999999999999994,0.06,1,1,120.2666666666667,0.08,0.07,0
118813,1,15,-1.4000000000000001,-0.28,-0.02,1,9,76.83585858585855,-0.14,-0.01,0
118814,18,185,-0.017391304347826087,-0.13,0.2,18,2,134.45397115675877,22.58,3.84,0
118815,1,5,0.6,0.07,0.07,1,1,87.6333333333333,0.09,0.09,0
118816,2,190,0.15000000000000002,0.58,0.42,0,0,0,0,0,0
118817,9,1191,-2.94,-2.8,0.33,9,305,119.72588421163002,43.62,9.67,0
118818,1,14,0.9,0.1,0.1,1,4,90.5090909090909,-0.23,-0.23,0
118819,3,37,-0.30000000000000004,0.01999999999999999,0.42,0,0,0,0,0,0
118820,1,14,1,0.14,0.14,0,0,0,0,0,0
118821,1,0,0,0,0,1,0,22.375,-0.14,-0.14,0
118822,15,7564,3.71875,34.09,4.46,0,0,0,0,0,0
118823,1,8,-0.8,-0.08,-0.08,1,2,86.4714285714286,-0.34,-0.34,0
118824,1,14,-1.9,-0.07,-0.07,0,0,0,0,0,0
118825,8,16,-0.029999999999999992,-0.05000000000000001,0.11,8,0,121.87788027437894,6.7,2.6,0
118826,1,42,-3.6,-0.2,-0.2,0,0,0,0,0,0
118827,5,1497,-10.48,-1.01,0.27,0,0,0,0,0,0
118828,16,7655,-6.505882352941177,25.8,4.36,0,0,0,0,0,0
118829,1,5,-1.3,-0.16,-0.16,0,0,0,0,0,0
118830,4,1117,-6.22,-2.6,-0.21,0,0,0,0,0,0
118831,6,684,-2.8125,0.42999999999999994,0.82,0,0,0,0,0,0
118832,1,12,-1.9,-0.15,-0.15,1,3,55.45,-0.41,-0.41,0
118833,4,114,-3.3249999999999997,-1.28,-0.03,0,0,0,0,0,0
118834,16,5729,3.070588235294118,34.03,5.88,0,0,0,0,0,0
118835,6,1081,-1.3,2.79,1.14,0,0,0,0,0,0
118836,5,1121,-1.7600000000000002,3.29,1.47,4,31,91.87591503267976,-1.57,0.26,0
118837,8,181,-1.025,-0.91,0,8,79,91.9586210554796,5.53,5.2,0
118838,1,1,-0.3,0,0,0,0,0,0,0,0
118839,1,73,-2.7,-0.22,-0.22,1,14,114.5292307692308,1.45,1.45,0
118840,14,4862,-6.2,5.010000000000001,2.64,0,0,0,0,0,0
118841,14,848,0.6071428571428571,0.75,0.64,14,396,104.0463966670824,24.79,5.93,0
118842,10,1245,-5.54,0.10999999999999997,0.74,0,0,0,0,0,0
118843,1,12,-0.7,-0.02,-0.02,0,0,0,0,0,0
118844,2,89,-1.85,-0.17,-0.07,0,0,0,0,0,0
118845,2,16,-2.05,-0.36,-0.09,0,0,0,0,0,0
118846,1,10,-0.1,0.02,0.02,0,0,0,0,0,0
118847,1,1,-0.3,0,0,0,0,0,0,0,0
118848,5,122,-0.04,-0.030000000000000006,0.09,5,42,74.2204939533299,-0.10000000000000012,1.74,0
118849,1,8,0.3,0.03,0.03,1,2,70.1133333333333,0,0,0
118850,1,38,-1.8,-0.16,-0.16,1,10,80.5880952380952,-0.26,-0.26,0
118851,1,4,-1.1,-0.02,-0.02,0,0,0,0,0,0
118852,8,2541,-11.8375,-0.55,2.13,0,0,0,0,0,0
118853,1,44,1.8,0.2,0.2,0,0,0,0,0,0
118854,1,9,0.3,0.08,0.08,0,0,0,0,0,0
118855,9,1606,-1.911111111111111,4,1.49,0,0,0,0,0,0
118856,1,45,-4.1,-0.47,-0.47,1,15,64.0275862068966,0.18,0.18,0
118857,5,949,-4.08,0.7100000000000001,1.33,0,0,0,0,0,0
118858,2,29,-2.1,-0.4,-0.17,0,0,0,0,0,0
118859,1,1,-0.2,-0.02,-0.02,1,0,91.45,-0.09,-0.09,0
118860,18,9429,8.55,52.5,5.22,0,0,0,0,0,0
118861,2,49,-2.35,-0.54,-0.03,2,13,55.3396153846154,-0.9400000000000001,-0.14,0
118862,2,15,-1.45,-0.29000000000000004,-0.14,2,2,114.97264957264954,0.08000000000000007,0.79,0
118863,2,15,-0.3,-0.039999999999999994,0.07,0,0,0,0,0,0
118864,1,18,-3.6,-0.29,-0.29,0,0,0,0,0,0
118865,5,66,0.42000000000000004,0.2,0.26,5,19,93.85123885193396,0.14000000000000007,0.91,0
118866,5,1713,3.9599999999999995,5.62,2.91,0,0,0,0,0,0
118867,10,546,-1.6636363636363638,-2.24,0.35,10,173,139.96724789302095,20.15,9.09,0
118868,10,577,-0.15833333333333333,-0.06999999999999999,0.77,10,204,93.62127565010069,8.51,3.24,0
118869,5,684,-4.619999999999999,-0.48,0.47,0,0,0,0,0,0
118870,12,6595,0.09166666666666694,21.58,4.36,0,0,0,0,0,0
118871,10,5737,-0.38461538461538464,14.32,3.75,0,0,0,0,0,0
118872,19,8059,1.0526315789473686,27.88,4.8,0,0,0,0,0,0
118873,2,2,-0.15,-0.03,0,2,0,101.595,0.54,0.56,0
118874,1,3,-0.7,-0.06,-0.06,0,0,0,0,0,0
118875,12,6039,6.9750000000000005,30.1,5.41,0,0,0,0,0,0
118876,1,101,-5.3,-0.3,-0.3,0,0,0,0,0,0
118877,4,151,-0.85,-0.09,0.1,1,0,92.7,-0.05,-0.05,0
118878,1,13,-0.1,-0.13,-0.13,0,0,0,0,0,0
118879,7,3682,6.325,13.57,3.89,0,0,0,0,0,0
118880,4,27,-0.6749999999999999,-0.29000000000000004,-0.02,3,9,60.52966611932127,-1.48,-0.34,0
118881,9,2543,18.799999999999997,20.13,4.62,4,19,75.72282051282052,-0.9200000000000002,1.39,0
118882,1,23,-1.8,-0.01,-0.01,0,0,0,0,0,0
118883,8,337,-2.5125,-2.01,0.02,8,116,91.69945604928681,8.35,4.53,0
118884,13,515,-0.58,-1,0.16,13,224,91.52801428451767,11.75,4.07,0
118885,1,2,-0.9,0,0,0,0,0,0,0,0
118886,6,1591,-0.55,3.9000000000000004,1.35,0,0,0,0,0,0
118887,8,0,0,0,0,8,9,94.52601261212652,2.2199999999999998,1.95,0
118888,3,286,-3.6,-0.42000000000000004,0.22,0,0,0,0,0,0
118889,1,7,0,0,0,1,2,77.6176470588235,0.15,0.15,0
118890,15,1201,-0.9941176470588234,-2.34,0.51,15,406,97.26585478075262,30.63,5.4,0
118891,4,138,-1.8400000000000003,-0.81,0.39,0,0,0,0,0,0
118892,1,0,-0.3,-0.03,-0.03,1,0,0,0.01,0.01,0
118893,2,10,0.9,0.19,0.11,2,2,88.43857142857145,-0.38,0.08,0
118894,4,113,-0.040000000000000015,-0.020000000000000004,0.06,4,32,89.18205345431151,0.6799999999999999,2.44,0
118895,1,3,0.1,0.02,0.02,0,0,0,0,0,0
118896,1,9,-0.2,0.01,0.01,0,0,0,0,0,0
118897,9,3560,-8.5,4.78,2.83,0,0,0,0,0,0
118898,11,1,-0.016666666666666666,-0.02,0,11,0,128.63946075349733,7.99,1.9,0
118899,1,0,0,0,0,0,0,0,0,0,0
118900,11,67,-0.25,-0.4,0.01,11,287,93.18134213769613,20,4.82,0
118901,3,163,-2.6666666666666665,-0.010000000000000009,0.83,0,0,0,0,0,0
118902,2,0,0,0,0,2,0,36.4388888888889,-0.66,-0.2,0
118903,3,4,-0.16666666666666666,-0.05,0,3,0,67.48,-0.88,-0.11,0
118904,17,8143,11.395,54.48,8.43,0,0,0,0,0,0
118905,1,20,-1.3,-0.09,-0.09,0,0,0,0,0,0
118906,2,147,-2.4,-0.37,-0.05,2,38,85.86451374207189,-0.10999999999999999,0.5,0
118907,1,1,0.5,0.06,0.06,1,1,29.2,-0.23,-0.23,0
118908,2,18,-0.1,0.11,0.08,0,0,0,0,0,0
